"scheme_name","source_sheet","unit_label","meter_label","linked_unit_label","meter_type","provisional_meter_key","prepaid","pq_factor","latest_reading_date","latest_reading"
"Carissa Lane","Carissa Lane","CL 14","CL 14","CL 14","UNIT","CL_14","","4,2622","2026/03/05","24691"
"Carissa Lane","Carissa Lane","CL 15","CL 15","CL 15","UNIT","CL_15","","3,7556","2026/03/05","59655"
"Carissa Lane","Carissa Lane","CL 16","CL 16","CL 16","UNIT","CL_16","","2,6826","2026/03/05","18025"
"Carissa Lane","Carissa Lane","CL 17","CL 17","CL 17","UNIT","CL_17","","3,7257","2026/03/05","24992"
"Carissa Lane","Carissa Lane","CL 18","CL 18","CL 18","UNIT","CL_18","","3,7556","2026/03/05","58146"
"Carissa Lane","Carissa Lane","CL 19","CL 19","CL 19","UNIT","CL_19","","3,7556","2026/03/05","22924"
"Carissa Lane","Carissa Lane","CL 20","CL 20","CL 20","UNIT","CL_20","","2,7422","2026/03/05","7243"
"Carissa Lane","Carissa Lane","CL 21","CL 21","CL 21","UNIT","CL_21","","2,7422","2026/03/05","48012"
"Carissa Lane","Carissa Lane","CL 22","CL 22","CL 22","UNIT","CL_22","","3,7556","2026/03/05","95354"
"Carissa Lane","Carissa Lane","CL 23","CL 23","CL 23","UNIT","CL_23","","3,7854","2026/03/05","28403"
"Carissa Lane","Carissa Lane","CL 24","CL 24","CL 24","UNIT","CL_24","","3,7556","2026/03/05","49854"
"Carissa Lane","Carissa Lane","CL 25","CL 25","CL 25","UNIT","CL_25","","2,7422","2026/03/05","93636"
"Carissa Lane","Carissa Lane","CL 26","CL 26","CL 26","UNIT","CL_26","","2,772","2026/03/05","99771"
"Carissa Lane","Carissa Lane","CL 27","CL 27","CL 27","UNIT","CL_27","","2,772","2026/03/05","98667"
"Carissa Lane","Carissa Lane","CL 28","CL 28","CL 28","UNIT","CL_28","","2,772","2026/03/05","95675"
"Carissa Lane","Carissa Lane","CL 29","CL 29","CL 29","UNIT","CL_29","","2,772","2026/03/05","46165"
"Carissa Lane","Carissa Lane","CL 30","CL 30","CL 30","UNIT","CL_30","","2,772","2026/03/05","91384"
"Carissa Lane","Carissa Lane","Com01","Com01","Com01","UNIT","Com01","",,"2026/03/05","12771"
"Carissa Lane","Carissa Lane","Com02","Com02","Com02","UNIT","Com02","",,"2026/03/05","949"
"Carissa Lane","Carissa Lane","Com03","Com03","Com03","UNIT","Com03","",,"2026/03/05","1737"
"Carissa Lane","Carissa Lane","Bulk 1","Bulk 1",,"BULK","Bulk_1","",,"2026/03/05","1605494"
"Bonifay Court","Bonifay Court","BC 01","BC 01","BC 01","UNIT","BC_01","","0,041666666666666664","2026/03/03","333282"
"Bonifay Court","Bonifay Court","BC 02","BC 02","BC 02","UNIT","BC_02","","0,041666666666666664","2026/03/03","323408"
"Bonifay Court","Bonifay Court","BC 03","BC 03","BC 03","UNIT","BC_03","","0,041666666666666664","2026/03/03","45298"
"Bonifay Court","Bonifay Court","BC 04","BC 04","BC 04","UNIT","BC_04","","0,041666666666666664","2026/03/03","368725"
"Bonifay Court","Bonifay Court","BC 05","BC 05","BC 05","UNIT","BC_05","","0,041666666666666664","2026/03/03","262002"
"Bonifay Court","Bonifay Court","BC 06","BC 06","BC 06","UNIT","BC_06","","0,041666666666666664","2026/03/03","514758"
"Bonifay Court","Bonifay Court","BC 07","BC 07","BC 07","UNIT","BC_07","","0,041666666666666664","2026/03/03","559749"
"Bonifay Court","Bonifay Court","BC 08","BC 08","BC 08","UNIT","BC_08","","0,041666666666666664","2026/03/03","52503"
"Bonifay Court","Bonifay Court","BC 09","BC 09","BC 09","UNIT","BC_09","","0,041666666666666664","2026/03/03","327847"
"Bonifay Court","Bonifay Court","BC 10","BC 10","BC 10","UNIT","BC_10","","0,041666666666666664","2026/03/03","441211"
"Bonifay Court","Bonifay Court","BC 11","BC 11","BC 11","UNIT","BC_11","","0,041666666666666664","2026/03/03","364562"
"Bonifay Court","Bonifay Court","BC 12","BC 12","BC 12","UNIT","BC_12","","0,041666666666666664","2026/03/03","29747"
"Bonifay Court","Bonifay Court","BC 13","BC 13","BC 13","UNIT","BC_13","","0,041666666666666664","2026/03/03","345276"
