"scheme_name","source_sheet","meter_label","linked_unit_label","meter_type","provisional_meter_key","prepaid","pq_factor","latest_reading","latest_reading_date","history_points"
"Rivonia Gate","Rivonia Gate","RG 11","RG 11","UNIT","RG_11","","5,2261","714149","2026/03/01","98"
"Rivonia Gate","Rivonia Gate","RG 12","RG 12","UNIT","RG_12","","5,6323","894913","2026/03/01","98"
"Rivonia Gate","Rivonia Gate","RG 13","RG 13","UNIT","RG_13","","6,4446","535327","2026/03/01","98"
"Rivonia Gate","Rivonia Gate","RG 14","RG 14","UNIT","RG_14","","6,2009","0","2026/03/01","98"
"Rivonia Gate","Rivonia Gate","RG 15 A","RG 15 A","UNIT","RG_15_A","","5,2261","672640","2026/03/01","98"
"Rivonia Gate","Rivonia Gate","RG 16","RG 16","UNIT","RG_16","","5,9301","711852","2026/03/01","98"
"Rivonia Gate","Rivonia Gate","Bulk 1",,"BULK","Bulk_1","",,"7410455","2026/03/01","98"
"Riviera Villas","Riviera Villas","RV 26A","RV 26A","UNIT","RV_26A","",,"80614","2020-10","24"
"Riviera Villas","Riviera Villas","RV 27A","RV 27A","UNIT","RV_27A","",,"4927","2020-10","24"
"Riviera Villas","Riviera Villas","RV 28A","RV 28A","UNIT","RV_28A","",,"31344","2020-10","24"
"Riviera Villas","Riviera Villas","RV 29A","RV 29A","UNIT","RV_29A","",,"7","2020-10","24"
"Riviera Villas","Riviera Villas","RV 30A","RV 30A","UNIT","RV_30A","",,"35736","2020-10","24"
"Riviera Villas","Riviera Villas","RV 31A","RV 31A","UNIT","RV_31A","",,"52508","2020-10","24"
"Riviera Villas","Riviera Villas","RV 32A","RV 32A","UNIT","RV_32A","",,"14004","2020-10","24"
"Riviera Villas","Riviera Villas","RV 33A","RV 33A","UNIT","RV_33A","",,"21633","2020-10","24"
"Riviera Villas","Riviera Villas","RV 34A","RV 34A","UNIT","RV_34A","",,"20345","2020-10","24"
"Riviera Villas","Riviera Villas","RV 35A","RV 35A","UNIT","RV_35A","",,"86236","2020-10","24"
"Riviera Villas","Riviera Villas","RV 35B","RV 35B","UNIT","RV_35B","",,"29689","2020-10","24"
"Riviera Villas","Riviera Villas","RV 36A","RV 36A","UNIT","RV_36A","",,"80908","2020-10","24"
"Riviera Villas","Riviera Villas","RV 36B","RV 36B","UNIT","RV_36B","",,"46891","2020-10","24"
"Riviera Villas","Riviera Villas","RV 37A","RV 37A","UNIT","RV_37A","",,"4166","2020-10","24"
"Riviera Villas","Riviera Villas","RV 37B","RV 37B","UNIT","RV_37B","",,"31295","2020-10","24"
"Riviera Villas","Riviera Villas","RV 38A","RV 38A","UNIT","RV_38A","",,"85297","2020-10","24"
"Riviera Villas","Riviera Villas","RV 38B","RV 38B","UNIT","RV_38B","",,"86505","2020-10","24"
"Riviera Villas","Riviera Villas","RV 39A","RV 39A","UNIT","RV_39A","",,"33243","2020-10","24"
"Riviera Villas","Riviera Villas","RV 39B","RV 39B","UNIT","RV_39B","",,"38864","2020-10","24"
"Riviera Villas","Riviera Villas","RV 40A","RV 40A","UNIT","RV_40A","",,"76464","2020-10","24"
"Riviera Villas","Riviera Villas","RV 40B","RV 40B","UNIT","RV_40B","",,"19344","2020-10","24"
"Riviera Villas","Riviera Villas","RV 41A","RV 41A","UNIT","RV_41A","",,"67429","2020-10","24"
"Riviera Villas","Riviera Villas","RV 41B","RV 41B","UNIT","RV_41B","",,"54627","2020-10","24"
"Riviera Villas","Riviera Villas","RV 42A","RV 42A","UNIT","RV_42A","",,"81453","2020-10","24"
"Riviera Villas","Riviera Villas","RV 42B","RV 42B","UNIT","RV_42B","",,"4205","2020-10","24"
"Riviera Villas","Riviera Villas","RV 43A A","RV 43A A","UNIT","RV_43A_A","",,"34070","2020-10","24"
"Riviera Villas","Riviera Villas","RV 43B","RV 43B","UNIT","RV_43B","",,"81043","2020-10","24"
"Riviera Villas","Riviera Villas","RV 44A","RV 44A","UNIT","RV_44A","",,"89275","2020-10","24"
"Riviera Villas","Riviera Villas","RV 44B","RV 44B","UNIT","RV_44B","",,"43620","2020-10","24"
"Riviera Villas","Riviera Villas","RV 45A","RV 45A","UNIT","RV_45A","",,"5587","2020-10","24"
"Riviera Villas","Riviera Villas","RV 45B","RV 45B","UNIT","RV_45B","",,"52395","2020-10","24"
"Riviera Villas","Riviera Villas","RV 46A","RV 46A","UNIT","RV_46A","",,"34662","2020-10","24"
"Riviera Villas","Riviera Villas","RV 46B A","RV 46B A","UNIT","RV_46B_A","",,"43460","2020-10","24"
"Riviera Villas","Riviera Villas","RV 47A","RV 47A","UNIT","RV_47A","",,"88306","2020-10","24"
"Riviera Villas","Riviera Villas","RV 47B","RV 47B","UNIT","RV_47B","",,"94794","2020-10","24"
"Riviera Villas","Riviera Villas","RV 48A","RV 48A","UNIT","RV_48A","",,"89360","2020-10","24"
"Riviera Villas","Riviera Villas","RV 48B","RV 48B","UNIT","RV_48B","",,"98731","2020-10","24"
"Riviera Villas","Riviera Villas","RV 49A","RV 49A","UNIT","RV_49A","",,"78150","2020-10","24"
"Riviera Villas","Riviera Villas","RV 49B","RV 49B","UNIT","RV_49B","",,"75400","2020-10","24"
"Riviera Villas","Riviera Villas","RV 50A A","RV 50A A","UNIT","RV_50A_A","",,"61292","2020-10","24"
"Riviera Villas","Riviera Villas","RV 50B","RV 50B","UNIT","RV_50B","",,"76363","2020-10","24"
"Riviera Villas","Riviera Villas","RV 51A","RV 51A","UNIT","RV_51A","",,"29941","2020-10","24"
"Riviera Villas","Riviera Villas","RV 51B","RV 51B","UNIT","RV_51B","",,"46527","2020-10","24"
"Riviera Villas","Riviera Villas","RV 52A","RV 52A","UNIT","RV_52A","",,"67804","2020-10","24"
"Riviera Villas","Riviera Villas","RV 52B","RV 52B","UNIT","RV_52B","",,"18015","2020-10","24"
"Riviera Villas","Riviera Villas","RV 53A","RV 53A","UNIT","RV_53A","",,"10636","2020-10","24"
"Riviera Villas","Riviera Villas","RV 53B","RV 53B","UNIT","RV_53B","",,"46639","2020-10","24"
