scheme_name,source_sheet,legacy_label,meter_type,reading_label,reading_date_note,reading_value,previous_reading_value,consumption
Akasia,Akasia,Tower,UNIT,2024-10-21 00:00:00,missing-date,12563.0,12420.0,143.0
Riviera Villas,Riviera Villas,RV 26A,UNIT,2021-09-19 00:00:00,unparseable-date,76825.0,76611.0,214.0
Riviera Villas,Riviera Villas,RV 27A,UNIT,2021-09-19 00:00:00,unparseable-date,1097.0,782.0,315.0
Riviera Villas,Riviera Villas,RV 28A,UNIT,2021-09-19 00:00:00,unparseable-date,30551.0,30518.0,33.0
Riviera Villas,Riviera Villas,RV 29A,UNIT,2021-09-19 00:00:00,unparseable-date,98135.0,98005.0,130.0
Riviera Villas,Riviera Villas,RV 30A,UNIT,2021-09-19 00:00:00,unparseable-date,34206.0,34118.0,88.0
Riviera Villas,Riviera Villas,RV 31A,UNIT,2021-09-19 00:00:00,unparseable-date,50978.0,50895.0,83.0
Riviera Villas,Riviera Villas,RV 32A,UNIT,2021-09-19 00:00:00,unparseable-date,12835.0,12764.0,71.0
Riviera Villas,Riviera Villas,RV 33A,UNIT,2021-09-19 00:00:00,unparseable-date,18201.0,18042.0,159.0
Riviera Villas,Riviera Villas,RV 34A,UNIT,2021-09-19 00:00:00,unparseable-date,20173.0,20104.0,69.0
Riviera Villas,Riviera Villas,RV 35A,UNIT,2021-09-19 00:00:00,unparseable-date,85545.0,85462.0,83.0
